,,봄 ( 3 ~ 5 ) ,*,*,여  름 ( 6 ~ 8 ) ,*,*,가  을 ( 9 ~ 11 ) ,*,*,겨  을 ( 12 ~ 2 ) ,*,*,
적용일자,발전기명,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일
2024-07-01,보령복합2CC,0.9951,0.9948,0.9936,0.9981,0.9967,0.996,0.9982,0.9969,0.9957,0.9993,0.9978,0.9974
2024-07-01,보령복합3CC,0.9962,0.9987,0.9982,0.994,0.9991,0.9987,0.9916,0.9953,0.996,1.0023,1.0027,1.0013
2024-07-01,포스코에너지복합9CC,1.0146,1.0161,1.0156,1.0217,1.0167,1.0181,1.0206,1.0201,1.0178,1.0225,1.0227,1.0188
2024-07-01,포스코에너지복합8CC,1.0133,1.0146,1.0149,1.0202,1.0154,1.0174,1.0203,1.0196,1.0175,1.0221,1.0234,1.0189
2024-07-01,포스코에너지복합7CC,1.0099,1.0088,1.0104,1.0167,1.0105,1.0138,1.0176,1.0168,1.0162,1.0169,1.0198,1.0136
2024-07-01,포스코에너지복합3CC,1.0133,1.0146,1.0149,1.0202,1.0154,1.0174,1.0203,1.0196,1.0175,1.0221,1.0234,1.0189
2024-07-01,포스코에너지복합4CC,1.0146,1.0161,1.0156,1.0217,1.0167,1.0181,1.0206,1.0201,1.0178,1.0225,1.0227,1.0188
2024-07-01,포스코에너지복합5CC,1.0099,1.0088,1.0104,1.0167,1.0105,1.0138,1.0176,1.0168,1.0162,1.0169,1.0198,1.0136
2024-07-01,포스코에너지복합6CC,1.0099,1.0088,1.0104,1.0167,1.0105,1.0138,1.0176,1.0168,1.0162,1.0169,1.0198,1.0136
2024-07-01,하남열병합CC,1.0172,1.0155,1.0172,1.0279,1.0184,1.0181,1.0274,1.0227,1.0244,1.0264,1.0192,1.0169
2024-07-01,GS당진복합1CC,0.9944,0.9957,0.9959,0.9984,0.997,0.9973,0.9972,0.9967,0.9998,0.9991,1.0024,0.9996
2024-07-01,GS당진복합4CC,0.9969,0.9987,1.0007,0.9978,0.9972,0.9972,0.9977,0.9972,1.0002,0.9965,0.997,0.9963
2024-07-01,목동열병합#1,1.0141,1.0105,1.0085,1.0136,1.0083,1.0097,1.0162,1.013,1.0115,1.0225,1.0198,1.0155
2024-07-01,노원열병합#1,1.0133,1.0131,1.0136,1.0256,1.0143,1.0158,1.0227,1.0209,1.0219,1.025,1.0224,1.0187
2024-07-01,부산복합1CC,1.0063,0.9949,0.9911,1.0297,1.0078,1.0085,1.0125,0.9933,0.9843,1.0222,1.0045,0.9953
2024-07-01,부산복합2CC,1.0063,0.9949,0.9911,1.0297,1.0078,1.0085,1.0125,0.9933,0.9843,1.0222,1.0045,0.9953
2024-07-01,부산복합3CC,1.0063,0.9949,0.9911,1.0297,1.0078,1.0085,1.0125,0.9933,0.9843,1.0222,1.0045,0.9953
2024-07-01,부산복합4CC,1.0063,0.9949,0.9911,1.0297,1.0078,1.0085,1.0125,0.9933,0.9843,1.0222,1.0045,0.9953
