순위,거래년월,발전기명,연료비(원/kWh),열량단가(원/Gcal),TLF,최대용량(95%),2차계수,1차계수,상수,권역
177,24-Dec,부천복합CC,174.594,86574,1.0198,506,0.000194,1.763551,98.664449,경기
178,24-Dec,울산복합CC#1,175.433,86431,1.0207,301,0.000267,1.909231,24.730896,경남
179,24-Dec,일산복합1CC,175.87,86425,1.0206,692,0.000213,1.806532,85.080411,경기
180,24-Dec,분당복합1CC,177.784,86439,1.0243,669,0.000423,1.576207,165.615902,경기
181,24-Dec,아산열병합CC,184.935,93727,1.029,114,0.001052,1.792002,13.49937,경기
182,24-Dec,판교열병합1CC,185.017,86068,1.0274,152,0.004397,1.210834,50.066636,경기
183,24-Dec,한림복합CC,193.219,86346,0.9992,117,3.20E-05,2.115174,13.674054,경기
184,24-Dec,인천공항복합1CC,198.439,87619,1.0223,148,0.00024,2.173459,15.749533,경기
185,24-Dec,평택#1,199.398,86782,1.0174,333,0.000848,1.719218,111.93252,경기
186,24-Dec,평택#2,200.074,86723,1.0174,328,0.001742,1.254419,171.028673,경기
187,24-Dec,평택#4,201.511,86789,1.0174,328,0.000838,1.716824,121.519459,경기
188,24-Dec,평택#3,201.633,86733,1.0174,328,0.002009,1.09617,200.119795,경기
189,24-Dec,부산정관에너지#1CC,204.666,86550,1.0234,50,0.031277,0.020904,41.505934,경남
190,24-Dec,제주내연#2,217.577,104624,1,37,0.017103,0.88383,20.826122,제주
191,24-Dec,무림파워텍열병합,219.189,76580,1.0245,21,0.000787,2.590636,6.798036,경남
192,24-Dec,제주내연#1,222.301,105069,1,36,0.008954,1.539482,9.134908,제주
193,24-Dec,안산도시개발열병합,242.66,83301,1.0193,55,0.004004,2.265111,26.642768,경기
194,24-Dec,남제주#2,252.867,101875,0.9999,90,0.002615,1.764806,43.416359,제주
195,24-Dec,제주화력#3,253.723,99867,1,70,0.007942,1.382867,42.139273,제주
196,24-Dec,남제주#1,256.244,101875,0.9999,89,0.002138,1.890452,38.725395,제주
197,24-Dec,논현열병합,263.608,92906,1.0284,22,0.006531,2.232646,11.855754,경기
198,24-Dec,제주화력#2,264.625,99867,1,71,0.006556,1.631778,39.250319,제주
199,24-Dec,수원열병합#1,264.888,89652,1.0252,35,0.017244,1.747752,23.733449,경기
200,24-Dec,대전서남부열병합,277.696,95258,1.0215,42,0.009279,2.117577,19.747617,경남
201,24-Dec,노원열병합#1,288.195,79009,1.025,29,0.046969,0.967775,40.870636,경기
202,24-Dec,대산복합#1C/C,293.025,131179,1.0058,411,1.00E-06,2.163077,34.243113,경기
203,24-Dec,목동열병합#1,317.521,89980,1.0225,19,0.048111,1.759821,17.750903,경기
204,24-Dec,대산복합#2G/T,384.995,131179,1.0058,108,0.004395,1.716721,82.222371,충청
